YYYY	MM	D		-	Temp(C)
============================
1949	2	16	-	4.7
1950	3	17	-	2.3
1951	4	2	-	0.1
1952	4	4	-	0.8
1953	2	25	-	0.9
1954	4	9	-	0.7
1955	4	30	-	6
1956	4	19	-	3
1957	3	30	-	0
1958	4	12	-	2.4
1959	2	24	-	2
1960	4	6	-	1.4
1961	2	25	-	0.6
1962	3	31	-	0.2
1963	4	7	-	3.1
1964	4	10	-	2.1
1965	3	28	-	0.3
1966	3	31	-	0.2
1967	3	5	-	2.6
1968	3	20	-	0.3
1969	4	3	-	1.5
1970	4	13	-	0.4
1971	4	6	-	0.1
1972	3	19	-	0.5
1973	3	10	-	1.3
1974	3	25	-	1.7
1975	3	4	-	3.2
1976	3	27	-	1.5
1977	3	8	-	2.7
1978	3	25	-	1.4
1979	3	25	-	0.7
1980	3	29	-	0.6
1981	3	30	-	0.7
1982	3	30	-	1.3
1983	3	13	-	0.9
1984	4	4	-	1.4
1985	4	11	-	0.1
1986	3	18	-	0.4
1987	3	27	-	1.9
1988	3	26	-	0.3
1989	2	23	-	0.3
1990	2	18	-	1.1
1991	3	17	-	0.4
1992	2	27	-	3.2
1993	3	14	-	2.8
1994	3	5	-	0.3
1995	2	16	-	2.5
1996	4	3	-	0.2
1997	2	20	-	0
1998	2	18	-	4.1
1999	3	25	-	2.7
2000	3	18	-	0.8
2001	3	9	-	0.6
2002	3	16	-	0.3
2003	3	7	-	0
2004	3	14	-	1.2
2005	3	22	-	2.4
2006	4	3	-	1.4
2007	3	5	-	0.6
2008	2	17	-	3.5
2009	3	28	-	1.5
2010	3	25	-	0.6
2011	3	8	-	1.8
2012	3	9	-	2.4
2013	4	11	-	1.8
